No.,Lvl.,Loc.,Material Code,Description & Specification,SNA,Qty.,Image
31,2,M144,DG94-02843A,"ASSY COVER AIR; AIRVECTION,T0.6,PYRO,
ENA",SA,1,NV70M3372BS_EE_31.png
32,2,X107,6021-001208,"NUT-HEXAGON CAP; M4,NI PLT,SWRCH10A",SNA,1,NV70M3372BS_EE_32.png
33,2,X107,6021-001211,"NUT-HEXAGON CAP; M4,NI
PLT,SWRCH10A,LEFT",SNA,1,NV70M3372BS_EE_33.png
34,2,,DG67-00011C,"FAN CONVECTION;
24""OVEN,ALCOAT-SA1C,Pi 12",SA,1,NV70M3372BS_EE_34.png
35,2,,DG67-00001C,"FAN CONVECTION;
24""OVEN,ALCOAT-SA1C,Pi 12",SA,1,NV70M3372BS_EE_35.png
36,2,H049,DG60-00001A,"SPACER-FAN CONVECTION;
BT63BSST,STKM11A,L",SA,2,NV70M3372BS_EE_36.png
37,2,M254,DG47-00073A,"ASSY LAMP-HALOGEN;
BT62FQBPST,613102,230V",SA,1,NV70M3372BS_EE_37.png
37-1,3,M250,DG63-00098A,"SHEET-RING BULB;
BT62FQBPST,STS304,T0.5,W",SNA,1,NV70M3372BS_EE_37-1.png
37-2,3,M265,DG63-00029A,"COVER-RING BULB; BT63BSST,STS304,T0.5",SA,1,NV70M3372BS_EE_37-2.png
38,2,H072,DG47-00011C,"HEATER SHEATH-CONVECTION;
AC230V,BKT + #2",SA,1,NV70M3372BS_EE_38.png
39,2,M294,DG61-00255A,"SUPPORTHINGE-LEFT; JM PYROLYTIC,GI-SGCC,",SA,1,NV70M3372BS_EE_39.png
40,2,M293,DG61-00256A,"SUPPORTHINGE-RIGHT; JM PYROLYTIC,GI-SGCC",SA,1,NV70M3372BS_EE_40.png
41,2,P282,DG63-00085A,"COVER-ADIABATIC-L/R; BT62FQBPST,GI-SGCD,T",SA,1,NV70M3372BS_EE_41.png
42,2,,DG63-00124B,"COVER-ADIABATIC(R); BQ2Q7G269/EUR,GI-SGC",SNA,1,NV70M3372BS_EE_42.png
43,2,,DG94-00329C,"ASSYCASE-L; GF94TRT001,COOKER,HANDLEHOL",SA,1,NV70M3372BS_EE_43.png
44,2,,DG94-00328C,"ASSYCASE-R; GF94TRT001,COOKER,HANDLEHOL",SA,1,NV70M3372BS_EE_44.png
45,2,M188,DG61-00341A,"BRACKET-HOLDER RACK; FLAT ALL MODEL,STS30",SNA,4,NV70M3372BS_EE_45.png
46,2,H130,DG94-00332A,"HOLDER RACK; -,STS304,-,-,-,-,-,-,-,-,-,-",SA,2,NV70M3372BS_EE_46.png
47,2,M268,DG73-00002A,"RUBBER-CUSHION; BT63BSST,SI RUBBER,BI,DAR",SA,2,NV70M3372BS_EE_47.png
48,2,M242,DG63-00119A,"COVER SCREW; BT65FQBPST,ABS,BLUE(74171),",SA,2,NV70M3372BS_EE_48.png
49,2,,DG64-00470A,"HANDLE GRIP; BT62FQBPST,MSWR,Ni-Cr Platin",SA,2,NV70M3372BS_EE_49.png
50,2,H024,DE60-30016A,"NUT FLANGE; MSWR-SWRM,MSWR10",SNA,4,NV70M3372BS_EE_50.png
51,2,M262,6031-001545,"WASHER-SPRING; STS430,ID5,OD11.8,T0.3,Dar",SNA,4,NV70M3372BS_EE_51.png
52,2,P283,DG63-00096A,"FILTER-CERAMIC; BT62FQBPST,CERAMIC",SNA,1,NV70M3372BS_EE_52.png
